New Folio No. and Face,Entry No.,Entry Part,Date Range-Standard-Start,Date Range-Standard-End,Date-Inferred,Date-Uncertain,Date-Approximate,Date-Type,Place-As Written,Place-Type,Place- Function,Date-Notes,Recited Date 1 Range-Standard-Start,Recited Date Range-Standard-End,Recited Date-Inferred,Recited Date-Uncertain,Recited Date-Approximate,Recited Date 1-Function,Recited Date 1-Place-As Written,Recited Date 1-Place-Type,Recited Date 1- Notes,Recited date 2-standard,Recited date 2-place-as written,Recited date 2-place – function,Recited date 2-place – type
12 v - 12 v,111,,[0000-00-00],,,,,Document date,Beverl',in manso habitaciones mee,,"Undated, but document appears with others dated in 1382",,,,,,,,,,,,,
13 r - 13 r,112,,1374-06-04,,,,,Event date,London,in mon beati Petri Westm' prope London,,,,,,,,,,,,,,,
13 r - 13 r,113,,1374-06-06,,,,,Document date,London,,,,,,,,,,,,,,,,
13 v - 13 v,114,,1374-07-19,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
13 v - 13 v,115,,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,116,a,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,116,b,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,116,c,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,117,,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,118,a,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,118,b,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,118,c,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,118,d,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,118,e,[1374-07-19],,Yes,,,Document date,[Claveryng'],,,"Undated, but presumably written on the same day as entry 114",,,,,,,,,,,,,
13 v - 13 v,119,,1374-07-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
13 v - 13 v,120,,[1374-07-24],,Yes,Yes,,Document date,,,,Probably dated on the same day as the previous entry (no. 119),,,,,,,,,,,,,
13 v - 13 v,121,,[1374-07-24],,Yes,Yes,,Document date,,,,Probably dated on the same day as entries 119 and 120,,,,,,,,,,,,,
14 r - 14 r,122,,[1374]-07-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 r - 14 r,123,,[1374]-07-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 r - 14 r,124,,1374-07-19,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 r - 14 r,125,,1374-08-07,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 r - 14 r,126,,1374-08-07,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 r - 14 r,127,,1374-06-11,,,,,Document date,London',,,,,,,,,,,,,,,,
14 v - 14 v,128,,1374-08-19,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 v - 14 v,129,,1374-08-19,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 v - 14 v,130,,1374-08-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 v - 14 v,131,,1374-08-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
14 v - 14 v,132,,1374-10-13,,,,,Document date,London,,,,,,,,,,,,,,,,
14 v - 14 v,133,,1374-10-13,,,,,Document date,London,,,,,,,,,,,,,,,,
14 v - 14 v,134,,1374-10-13,,,,,Document date,London,,,,,,,,,,,,,,,,
15 r - 15 r,135,,1374-09-16,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
15 r - 15 r,136,,1374-09-00,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
15 r - 15 r,137,,1374-09-03,,,,,Document date,London',,,,,,,,,,,,,,,,
15 r - 15 r,138,,1372-11-17,,,Yes,,Document date,London',,,Date as written, apparently dated in the archbishop's third year ('Millesimo cccmo septuagesimo secundo et cons' nostre tercio),,,,,,,,,,,,
15 r - 15 r,139,,1374-09-02,,,,,Document date,London',,,,,,,,,,,,,,,,
15 r - 15 r,140,,1374-10-18,,,,,Document date,London',,,,,,,,,,,,,,,,
15 v - 15 v,141,,[0000-00-00],,,,,Document date,London',,,"Undated, but document appears with others dated in 1374",,,,,,,,,,,,,
15 v - 15 v,142,,[0000-00-00],,,,,Document date,London',,,"Undated, but document appears with others dated in 1374",,,,,,,,,,,,,
15 v - 15 v,143,,1374-06-12,,,,,Document date,London',,,,,,,,,,,,,,,,
15 v - 15 v,144,,1374-10-23,,,,,Document date,London',,,,,,,,,,,,,,,,
15 v - 15 v,145,,1374-10-24,,,,,Document date,London',,,,,,,,,,,,,,,,
15 v - 15 v,146,,1374-10-24,,,,,Document date,London',,,,,,,,,,,,,,,,
16 r - 16 r,147,,1374-10-20,,,,,Document date,London',,,,,,,,,,,,,,,,
16 r - 16 r,148,,1374-10-24,,,,,Document date,London',,,,,,,,,,,,,,,,
16 r - 16 r,149,,1374-10-27,,,,,Document date,London',in hospitio dicto Pulteneys,,,,,,,,,,,,,,,
16 r - 16 r,150,,1374-10-28,,,,,Document date,London',,,,,,,,,,,,,,,,
16 r - 16 r,151,,1374-11-02,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
16 r - 16 v,152,,1374-10-22,,,,,Event date,London',in camera hospitii Pountenysyn vugarie nuncupat quod ... In parochia sancti Laurencii Pounteney London,,,,,,,,,,,,,,,
16 v - 16 v,153,,1374-10-22,,,,,Event date,,,,,,,,,,,,,,,,,
16 v - 16 v,154,,1374-11-10,,,,,Document date,Suthwell,,,,,,,,,,,,,,,,
16 v - 16 v,155,,[1374]-11-21,,,Yes,,Event date,Esyngton',,,"No year given, but document appears with others dated in 1374",,,,,,,,,,,,,
16 v - 16 v,156,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in 1374",,,,,,,,,,,,,
16 v - 16 v,157,,1374-12-08,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
16 v - 16 v,158,,1374-12-10,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
16 v - 16 v,159,,1374-12-10,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
16 v - 17 r,160,,1374-12-11,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17 r - 17 r,161,,1374-12-15,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 r - 17 r,162,,1374-12-15,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 r - 17 r,163,,1374-12-15,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 r - 17 r,164,,1374-12-16,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17 r - 17 r,165,,1374-12-16,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17 r - 17 r,166,,1374-12-16,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17 r - 17 r,167,,1374-12-20,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
