Image,Folio,Recto/Verso,Notes,UV
Abp_Reg_31_0001,,,Outside of front board,
Abp_Reg_31_0002,,,Pastedown on inside of front board and pocket attached to inside of front board holding indices; Paper,
Abp_Reg_31_0003,i,r,"Index, Paper",
Abp_Reg_31_0004,i,v,"Index, Paper",
Abp_Reg_31_0005,ii,r,"Index, Paper",
Abp_Reg_31_0006,ii,v,"Index, Paper",
Abp_Reg_31_0007,iii,r,"Index, Paper",
Abp_Reg_31_0008,iii,v,"Index, Paper",
Abp_Reg_31_0009,iv,r,"Index, Paper",
Abp_Reg_31_0010,iv,v,"Index, Paper",
Abp_Reg_31_0011,,,Front flyleaf 1 (recto); Paper,
Abp_Reg_31_0012,,,Front flyleaf 1 (verso); Paper,
Abp_Reg_31_0013,,,Front flyleaf 2 (recto); Paper,
Abp_Reg_31_0014,,,Front flyleaf 2 (verso); Paper,
Abp_Reg_31_0015,,,Contemporary front flyleaf 1 (recto),
Abp_Reg_31_0016,,,Contemporary front flyleaf 1 (verso),
Abp_Reg_31_0017,,,Contemporary front flyleaf 2 (recto),
Abp_Reg_31_0018,,,Contemporary front flyleaf 2 (recto),UV
Abp_Reg_31_0019,,,Contemporary front flyleaf 2 (verso),
Abp_Reg_31_0020,,,Contemporary front flyleaf 3 (recto),
Abp_Reg_31_0021,,,Contemporary front flyleaf 3 (verso),
Abp_Reg_31_0022,,,Contemporary front flyleaf 4 (recto),
Abp_Reg_31_0023,,,Contemporary front flyleaf 4 (verso),
Abp_Reg_31_0419,197,v,,
Abp_Reg_31_0420,198,r,,
Abp_Reg_31_0421,198,v,,
Abp_Reg_31_0422,199,r,,
Abp_Reg_31_0423,199,v,,
Abp_Reg_31_0424,200,r,,
Abp_Reg_31_0425,200,v,,
Abp_Reg_31_0426,201,r,,
Abp_Reg_31_0427,201,v,,
Abp_Reg_31_0428,202,r,,
Abp_Reg_31_0429,202,v,,
Abp_Reg_31_0430,203,r,,
Abp_Reg_31_0431,203,v,,
Abp_Reg_31_0432,204,r,,
Abp_Reg_31_0433,204,v,,
Abp_Reg_31_0434,205,r,,
Abp_Reg_31_0435,205,v,,
Abp_Reg_31_0436,206,r,,
Abp_Reg_31_0437,206,v,,
Abp_Reg_31_0438,207,r,,
Abp_Reg_31_0439,207,v,,
Abp_Reg_31_0440,208,r,,
Abp_Reg_31_0441,208,v,,
Abp_Reg_31_0442,209,r,,
Abp_Reg_31_0443,209,v,,
Abp_Reg_31_0444,210,r,,
Abp_Reg_31_0445,210,v,,
Abp_Reg_31_0446,211,r,,
Abp_Reg_31_0447,211,v,,
Abp_Reg_31_0448,212,r,,
Abp_Reg_31_0449,212,v,,
Abp_Reg_31_0450,213,r,,
Abp_Reg_31_0451,213,v,,
Abp_Reg_31_0452,214,r,,
Abp_Reg_31_0453,214,v,,
Abp_Reg_31_0454,215,r,,
Abp_Reg_31_0455,215,v,,
Abp_Reg_31_0456,216,r,,
Abp_Reg_31_0457,216,v,,
Abp_Reg_31_0458,217,r,,
Abp_Reg_31_0459,217,v,,
Abp_Reg_31_0460,218,r,,
Abp_Reg_31_0461,218,v,,
Abp_Reg_31_0462,219,r,,
Abp_Reg_31_0463,219,v,,
Abp_Reg_31_0464,220,r,,
Abp_Reg_31_0465,220,v,,
Abp_Reg_31_0466,221,r,,
Abp_Reg_31_0467,221,v,,
Abp_Reg_31_0468,222,r,,
Abp_Reg_31_0469,222,v,,
Abp_Reg_31_0470,223,r,,
Abp_Reg_31_0471,223,v,,
Abp_Reg_31_0472,224,r,,
Abp_Reg_31_0473,224,v,,
Abp_Reg_31_0474,225,r,,
Abp_Reg_31_0475,225,r,,UV
Abp_Reg_31_0476,225,v,,
Abp_Reg_31_0477,226,r,,
Abp_Reg_31_0478,226,v,,
Abp_Reg_31_0479,227,r,,
Abp_Reg_31_0480,227,v,,
Abp_Reg_31_0481,228,r,,
Abp_Reg_31_0482,228,v,,
Abp_Reg_31_0483,229,r,,
Abp_Reg_31_0484,229,v,,
Abp_Reg_31_0485,230,r,,
Abp_Reg_31_0486,230,v,,
Abp_Reg_31_0487,231,r,,
Abp_Reg_31_0488,231,v,,
Abp_Reg_31_0489,232,r,,
Abp_Reg_31_0490,232,v,,
Abp_Reg_31_0491,233,r,,
Abp_Reg_31_0492,233,v,,
Abp_Reg_31_0493,234,r,,
Abp_Reg_31_0494,234,v,,
Abp_Reg_31_0495,235,r,,
Abp_Reg_31_0496,235,v,,
Abp_Reg_31_0497,236,r,,
Abp_Reg_31_0498,236,v,,
Abp_Reg_31_0499,237,r,,
Abp_Reg_31_0500,237,v,,
Abp_Reg_31_0501,238,r,,
Abp_Reg_31_0502,238,v,,
Abp_Reg_31_0503,239,r,,
Abp_Reg_31_0504,239,v,,
Abp_Reg_31_0505,240,r,,
Abp_Reg_31_0506,240,v,,
Abp_Reg_31_0507,241,r,,
Abp_Reg_31_0508,241,v,,
Abp_Reg_31_0509,242,r,,
