Image,folio,recto/verso,Description,Notes,PID
Abp_Reg_27_0349,167,r,,,york:903682
Abp_Reg_27_0350,167,v,,,york:903683
Abp_Reg_27_0351,168,r,,,york:903684
Abp_Reg_27_0352,168,v,,,york:903685
Abp_Reg_27_0353,169,r,,,york:903686
Abp_Reg_27_0354,169,v,,,york:903687
Abp_Reg_27_0355,170,r,,,york:903688
Abp_Reg_27_0356,170,v,,,york:903689
Abp_Reg_27_0357,171,r,,,york:903690
Abp_Reg_27_0358,171,v,,,york:903691
Abp_Reg_27_0359,172,r,,,york:903692
Abp_Reg_27_0360,172,v,,,york:903693
Abp_Reg_27_0361,173,r,,,york:903694
Abp_Reg_27_0362,173,v,,,york:903695
Abp_Reg_27_0363,174,r,,,york:903696
Abp_Reg_27_0364,174,v,,,york:903697
Abp_Reg_27_0365,175,r,,,york:903698
Abp_Reg_27_0366,175,v,,,york:903699
Abp_Reg_27_0367,176,r,,,york:903700
Abp_Reg_27_0368,176,v,,,york:903701
Abp_Reg_27_0369,177,r,,,york:903702
Abp_Reg_27_0370,177,v,,,york:903703
Abp_Reg_27_0371,178,r,,,york:903704
Abp_Reg_27_0372,178,v,,,york:903705
Abp_Reg_27_0373,179,r,,,york:903706
Abp_Reg_27_0374,179,v,,,york:903707
Abp_Reg_27_0375,180,r,,,york:903708
Abp_Reg_27_0376,180,v,,,york:903709
Abp_Reg_27_0377,181,r,,,york:903710
Abp_Reg_27_0378,181,v,,,york:903711
Abp_Reg_27_0379,182,r,,,york:903712
Abp_Reg_27_0380,182,v,,,york:903713
Abp_Reg_27_0381,183,r,,,york:903714
Abp_Reg_27_0382,183,v,,,york:903715
Abp_Reg_27_0383,184,r,,,york:903716
Abp_Reg_27_0384,184,v,,,york:903717
Abp_Reg_27_0385,185,r,,,york:903718
Abp_Reg_27_0386,185,v,,,york:903719
Abp_Reg_27_0387,186,r,,,york:903720
Abp_Reg_27_0388,186,v,,,york:903721
Abp_Reg_27_0389,187,r,,,york:903722
Abp_Reg_27_0390,187,v,,,york:903723
Abp_Reg_27_0391,188,r,,,york:903724
Abp_Reg_27_0392,188,v,,,york:903725
Abp_Reg_27_0393,189,r,,,york:903726
Abp_Reg_27_0394,189,v,,,york:903727
Abp_Reg_27_0395,190,r,,,york:903728
Abp_Reg_27_0396,190,v,,,york:903729
