Image,folio,recto/verso,Notes,PID
Abp_Reg_08_0304,150,v,,york:894596
Abp_Reg_08_0305,151,r,,york:894597
Abp_Reg_08_0306,151,v,,york:894598
Abp_Reg_08_0307,152,r,,york:894599
Abp_Reg_08_0308,152,v,,york:894600
Abp_Reg_08_0309,153,r,,york:894601
Abp_Reg_08_0310,153,v,,york:894602
Abp_Reg_08_0311,154,r,,york:894603
Abp_Reg_08_0312,154,v,,york:894604
Abp_Reg_08_0313,155,r,,york:894605
Abp_Reg_08_0314,155,v,,york:894606
Abp_Reg_08_0315,156,r,,york:894607
Abp_Reg_08_0316,156,v,,york:894608
Abp_Reg_08_0317,157,r,,york:894609
Abp_Reg_08_0318,157,v,,york:894610
Abp_Reg_08_0319,158,r,,york:894611
Abp_Reg_08_0320,158,v,,york:894612
Abp_Reg_08_0321,159,r,,york:894613
Abp_Reg_08_0322,159,v,,york:894614
Abp_Reg_08_0323,160,r,,york:894615
Abp_Reg_08_0324,160,v,,york:894616
Abp_Reg_08_0325,161,r,,york:894617
Abp_Reg_08_0326,161,v,,york:894618
Abp_Reg_08_0327,162,r,,york:894619
Abp_Reg_08_0328,162,v,,york:894620
Abp_Reg_08_0329,163,r,,york:894621
Abp_Reg_08_0330,163,v,,york:894622
Abp_Reg_08_0331,164,r,,york:894623
Abp_Reg_08_0332,164,v,,york:894624
Abp_Reg_08_0333,165,r,,york:894625
Abp_Reg_08_0334,165,v,,york:894626
Abp_Reg_08_0335,166,r,,york:894627
Abp_Reg_08_0336,166,v,,york:894628
Abp_Reg_08_0337,167,r,,york:894629
Abp_Reg_08_0338,167,v,,york:894630
Abp_Reg_08_0339,168,r,,york:894631
Abp_Reg_08_0340,168,v,,york:894632
Abp_Reg_08_0341,169,r,,york:894633
Abp_Reg_08_0342,169,v,,york:894634
Abp_Reg_08_0343,170,r,,york:894635
Abp_Reg_08_0344,170,v,,york:894636
Abp_Reg_08_0345,171,r,,york:894637
Abp_Reg_08_0346,171,v,,york:894638
Abp_Reg_08_0347,172,r,,york:894639
Abp_Reg_08_0348,172,v,,york:894640
Abp_Reg_08_0349,173,r,,york:894641
Abp_Reg_08_0350,173,v,,york:894642
Abp_Reg_08_0351,174,r,,york:894643
Abp_Reg_08_0352,174,v,,york:894644
Abp_Reg_08_0353,175,r,,york:894645
Abp_Reg_08_0354,175,v,,york:894646
Abp_Reg_08_0355,176,r,,york:894647
Abp_Reg_08_0356,176,v,,york:894648
Abp_Reg_08_0357,177,r,,york:894649
Abp_Reg_08_0358,177,v,,york:894650
Abp_Reg_08_0359,178,r,,york:894651
Abp_Reg_08_0360,178,v,,york:894652
Abp_Reg_08_0361,179,r,,york:894653
Abp_Reg_08_0362,179,v,,york:894654
Abp_Reg_08_0363,180,r,,york:894655
Abp_Reg_08_0364,180,v,,york:894656
Abp_Reg_08_0365,181,r,,york:894657
Abp_Reg_08_0366,181,v,,york:894658
Abp_Reg_08_0367,182,r,,york:894659
Abp_Reg_08_0368,182,v,,york:894660
Abp_Reg_08_0369,183,r,,york:894661
Abp_Reg_08_0370,183,v,,york:894662
Abp_Reg_08_0371,184,r,,york:894663
Abp_Reg_08_0372,184,v,,york:894664
Abp_Reg_08_0373,185,r,,york:894665
Abp_Reg_08_0374,185,v,,york:894666
Abp_Reg_08_0375,186,r,,york:894667
Abp_Reg_08_0376,186,v,,york:894668
Abp_Reg_08_0377,187,r,,york:894669
Abp_Reg_08_0378,187,v,,york:894670
Abp_Reg_08_0379,188,r,,york:894671
Abp_Reg_08_0380,188,v,,york:894672
Abp_Reg_08_0381,189,r,,york:894673
Abp_Reg_08_0382,189,v,,york:894674
Abp_Reg_08_0383,190,r,,york:894675
Abp_Reg_08_0384,190,v,,york:894676
Abp_Reg_08_0385,191,r,,york:894677
Abp_Reg_08_0386,191,v,,york:894678
Abp_Reg_08_0387,192,r,,york:894679
Abp_Reg_08_0388,192,v,,york:894680
Abp_Reg_08_0389,193,r,,york:894681
Abp_Reg_08_0390,193,v,,york:894682
Abp_Reg_08_0391,194,r,,york:894683
Abp_Reg_08_0392,194,v,,york:894684
Abp_Reg_08_0393,195,r,,york:894685
Abp_Reg_08_0394,195,v,,york:894686
Abp_Reg_08_0395,196,r,,york:894687
Abp_Reg_08_0396,196,v,,york:894688
Abp_Reg_08_0397,197,r,,york:894689
Abp_Reg_08_0398,197,v,,york:894690
Abp_Reg_08_0399,198,r,,york:894691
Abp_Reg_08_0400,198,v,,york:894692
Abp_Reg_08_0401,199,r,,york:894693
Abp_Reg_08_0402,199,v,,york:894694
Abp_Reg_08_0403,200,r,,york:894695
Abp_Reg_08_0404,200,v,,york:894696
Abp_Reg_08_0405,201,r,,york:894697
Abp_Reg_08_0406,201,v,,york:894698
Abp_Reg_08_0407,202,r,,york:894699
Abp_Reg_08_0408,202,v,,york:894700
Abp_Reg_08_0409,203,r,,york:894701
Abp_Reg_08_0410,203,v,,york:894702
Abp_Reg_08_0411,204,r,,york:894703
Abp_Reg_08_0412,204,v,,york:894704
Abp_Reg_08_0413,205,r,,york:894705
Abp_Reg_08_0414,205,v,,york:894706
Abp_Reg_08_0415,206,r,,york:894707
Abp_Reg_08_0416,206,v,,york:894708
Abp_Reg_08_0417,207,r,,york:894709
Abp_Reg_08_0418,207,v,,york:894710
Abp_Reg_08_0419,208,r,,york:894711
Abp_Reg_08_0420,208,v,,york:894712
Abp_Reg_08_0421,209,r,,york:894713
Abp_Reg_08_0422,209,v,,york:894714
Abp_Reg_08_0423,210,r,,york:894715
Abp_Reg_08_0424,210,v,,york:894716
Abp_Reg_08_0425,211,r,,york:894717
Abp_Reg_08_0426,211,v,,york:894718
Abp_Reg_08_0427,212,r,,york:894719
Abp_Reg_08_0428,212,v,,york:894720
Abp_Reg_08_0429,213,r,,york:894721
Abp_Reg_08_0430,213,v,,york:894722
Abp_Reg_08_0431,214,r,,york:894723
Abp_Reg_08_0432,214,v,,york:894724
Abp_Reg_08_0433,215,r,,york:894725
Abp_Reg_08_0434,215,v,,york:894726
Abp_Reg_08_0435,216,r,,york:894727
Abp_Reg_08_0436,216,v,,york:894728
Abp_Reg_08_0437,217,r,,york:894729
Abp_Reg_08_0438,217,v,,york:894730
Abp_Reg_08_0439,218,r,,york:894731
Abp_Reg_08_0440,218,v,,york:894732
Abp_Reg_08_0441,219,r,,york:894733
Abp_Reg_08_0442,219,v,,york:894734
Abp_Reg_08_0443,220,r,,york:894735
Abp_Reg_08_0444,220,v,,york:894736
Abp_Reg_08_0445,221,r,,york:894737
Abp_Reg_08_0446,221,v,,york:894738
Abp_Reg_08_0447,222,r,,york:894739
Abp_Reg_08_0448,222,v,,york:894740
