New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type
100A r - 100A r,1246,,1387-08-02,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,
100A r - 100A r,1247,,1387-03-03,,,,,Document date,Ebor',,,,,,,,,,,,,,
100A r - 100A r,1248,,1387-04-18,,,,,Document date,Cawode,,,,,,,,,,,,,,
100A r - 100A r,1249,,1387-08-10,,,,,Document date,Cawode,,,,,,,,,,,,,,
100A r - 100A r,1250,,1387-10-13,,,,,Memorandum date,Suthwell,,,,,,,,,,,,,,
100A r - 100A r,1251,,1387-09-01,,,,,Note date,Suthwell,,,,,,,,,,,,,,
100A r - 100A r,1252,,1387-09-01,,,,,Note date,Suthwell,,,,,,,,,,,,,,
100A r - 100A r,1253,,1387-07-20,,,,,Document date,,,,,,,,,,,,,,,
100A r - 100A r,1254,,1387-10-26,,,,,Memorandum date,,,,,,,,,,,,,,,
100A r - 100A r,1255,,1387-11-26,,,,,Note date,Cawod,,,,,,,,,,,,,,
100A v - 100A v,1256,,1387-10-24,,,,,Document date,Cawode,,,,,,,,,,,,,,
