New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Role - role in entry,Role - associated place - as written,Role - associated place - type,Role - associated place - function,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 1 - associated place - function,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 2 - associated place - function,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 3 - Place- Function,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 4 - place - function,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 5 - place - function,Status 6,Status 6 - place - as written,Status 6 - place - type,Status 6 - place - function
2,13,,Master,Simon,de,Multon,,,former office holder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Thomas,de,Britton,,,sender,,,,,canon,Wellens',,diocese,,vicar-general,,,,,,,,,,,,,,,,,,,
2,14,,,John,,[Thoresby?],,,sender,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,14,,,Roger,[de],[Pont L'Eveque],,,former archbishop,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,14,,,Sewal,[de],[Bovil],,,former archbishop,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,14,,,Roger,[de],[Pont L'Eveque],,,sender,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,14,,,,,,,,addressees,,,,,chapter,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,14,,,,,,,,addressee,,,,,dean,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,14,,,Roger,[de],[Pont L'Eveque],,,patron,Otteley,"church, moiety",,,archbishop,Ebor',,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Roger,[de],[Pont L'Eveque],,,patron,Evertona,church,,,archbishop,Ebor',,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Roger,[de],[Pont L'Eveque],,,patron,Suttona,church,,,archbishop,Ebor',,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Roger,[de],[Pont L'Eveque],,,patron,Scroby,chapel,,,archbishop,Ebor',,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Roger,[de],[Pont L'Eveque],,,patron,Haytona,church,,,archbishop,Ebor',,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Roger,[de],[Pont L'Eveque],,,patron,Claverburgh,church,,,archbishop,Ebor',,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Richard,de,Morevilla,,,patron,Colyngham,church,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Richard,de,Morevilla,,,patron,Berdesey,church,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,William,,Scotti,,,patron,Claverley,church,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,William,,Paynel,,,patron,Hotona,church,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Avice,de,Rumillum,,,patron,Harwode,church,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Adam,de,Brus,,,patron,Thorp,church,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Ivetta,de,Archess,,,patron,Thorp,church,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Robert,,,,,witness,,,,,dean,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,[illegible name],,,,,witness,,,,,precentor,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,Master,Wydone/Guy?,,,,,witness,,,,,archdeacon,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,Master,Radulpho,,,,,witness,,,,,archdeacon,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,John,,,,,witness,,,,,archdeacon,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,William,,,,,witness,,,,,archdeacon,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Jerome?,,,,,witness,,,,,archdeacon,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Gilbert,,,,,witness,,,,,abbot,Selby,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Robert,,,,,witness,,,,,provost,Beverlaci,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Alan,,,,,witness,,,,,canon,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,Master,Maynardo,,Stephano,,,witness,,,,,canon,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Gerold,,,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Thomas,,,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Paul,,,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Adam,de,Thorn,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,William,de,Tollemire,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Reginald,,Arundel,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,Master,Roger,,,,,witness,,,,,doctor (medicus),,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,William,,,,son of Bartholomew canon of York,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,Master,Miles,,,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,Master,Alan,de,Pykeryng,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,William,de,Godelyng',,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Radulpho,de,Wygetoft,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,,,Sewal,[de],[Bovil],,,sender,,,,,archbishop,Ebor',,,,,,,,,,,,,,,,,,,,,,,
2,14,,Master,Gilbert,de,Tywa,,,,,,,,sacrist,beate Marie virginis & angelorum,,chapel,,,,,,,,,,,,,,,,,,,,,
2,14,,,Thomas,de,Aldefeld,,,notary,,,,,clerk,,,,,,,,,,,,,,,,,,,,,,,,
3,15,,,Thomas,de,Aldefeld,,,notary,,,,,clerk,Ebor',,diocese,,,,,,,,,,,,,,,,,,,,,
3,15,,Master,Adam,de,Ebor',,,witness,,,,,canon,beate Marie & sanctorum angelorum,,chapel,,,,,,,,,,,,,,,,,,,,,
3,15,,,William,de,Lynton',,,witness,,,,,clerk,Ebor'/Karliolen',,dioceses,,,,,,,,,,,,,,,,,,,,,
