New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type,,
17,177,,[0000-00-00],,,,,Document date,,,"Undated, but document appears with others dated in late 1374 and early 1375",,,,,,,,,,,,,,
17,178,,1374-12-24,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,179,,1374-12-24,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,180,,[0000-00-00],,,,,Document date,,,"Undated, but document appears with others dated in late 1374 and early 1375",,,,,,,,,,,,,,
17,181,,1375-01-01,,,,,Document date,Thorp,manor,,,,,,,,,,,,,,,
17,182,,[0000-00-00],,,,,Document date,,,"Undated, but document appears with others dated in early 1375",,,,,,,,,,,,,,
18,183,,1375-02-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,184,,1375-02-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,185,,1375-02-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,186,,1375-03-16,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,187,,1375-03-16,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,188,,[0000-00-00],,,,,Document date,,,"Undated, but document appears with others dated in March 1375",,,,,,,,,,,,,,
18,189,,[1375]-03-20,,,Yes,,Document date,Cawode,,"No year given, but document appears with documents dated in March 1375",,,,,,,,,,,,,,
18,190,,1375-03-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,191,,1375-03-22,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
18,192,,1375-03-23,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,193,,1375-03-23,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,194,,1375-03-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,195,,1375-03-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,196,,1375-04-09,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18,197,,1375-04-10,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18,198,,[1375-04-10],,,Yes,,Document date,,,"Undated, but presumably dated on the same day as the document relating to the induction to which the entry refers",,,,,,,,,,,,,,
18,199,,1375-04-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,200,,1375-04-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,201,,1375-04-15,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,202,,1375-05-09,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18,203,,1375-05-12,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18,204,,1375-05-19,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
18,205,,1375-05-19,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
18,206,,1375-05-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18,207,,1375-06-05,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18,208,,1375-06-05,,,,,Document date,,,,,,,,,,,,,,,,,
18,209,,1375-06-25,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
19,210,,1375-06-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,211,,1375-06-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,212,,1375-06-10,,,,,Document date,,,,,,,,,,,,,,,,,
19,213,,1375-07-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,214,,1375-07-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,215,,1375-07-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,216,,1375-08-04,,,,,Document date,,,,,,,,,,,,,,,,,
19,217,,1375-08-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,218,,1375-08-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,219,,1375-08-16,,,,,Document date,Doncastr',,,,,,,,,,,,,,,,
19,220,,1375-08-16,,,,,Document date,Doncastr',,,,,,,,,,,,,,,,
19,221,,1375-08-18,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
19,222,,[1375-08-18],,,Yes,,Document date,,,"Undated, but presumably written on the same day as the document relating to the induction to which it refers (entry 221)",,,,,,,,,,,,,,
19,223,,1375-08-21,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
19,224,,[1375]-00-00,,,Yes,,Document date,,,Dated 'anno cons' secundo',,,,,,,,,,,,,,
19,225,,1375-08-27,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,226,,1375-08-31,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,227,,1375-08-31,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19,228,,1375-08-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19 v - 20 r,229,,1375-08-12,,,,,Document date,Poklyngton',,,,,,,,,,,,,,,,
20,230,,1375-09-24,,,,,Document date,,,,,,,,,,,,,,,,,
20,231,,1375-09-29,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
